164     276
167     275
179     270
191     265
203     260
214     255
216     254
225     253
234     244
240     234
248     223
260     221
266     206
261     195
250     192
242     185
237     175
237     175
237     175
234     174
222     176
209     180
196     182
181     183
168     184
156     186
143     190
130     194
117     199
106     211
99     224
88     236
79     239
71     244
78     252
88     259
98     265
109     267
120     275
131     277
143     278
155     278
